time,foot
38.12262,Left,
38.6732,Right,
39.2481,Left,
39.78799,Right,
40.33038,Left,
40.87639,Right,
41.4161,Left,
41.95741,Right,
42.5562,Left,
43.09714,Right,
43.62879,Left,
44.12754,Right,
44.69883,Left,
45.24822,Right,
45.87031,Left,
46.4029,Right,
46.95648,Left,
47.46294,Right,
48.00102,Left,
48.49894,Right,
49.0496,Left,
49.59732,Right,
50.15041,Left,
50.65601,Right,
51.25904,Left,
51.81615,Right,
52.39875,Left,
52.95165,Right,
53.56821,Left,
54.06184,Right,
54.56784,Left,
55.06678,Right,
55.63431,Left,
56.17315,Right,
56.72305,Left,
57.27097,Right,
57.82121,Left,
58.35624,Right,
58.86209,Left,
59.36375,Right,
59.91395,Left,
60.47983,Right,
61.07925,Left,
61.59296,Right,
62.14589,Left,
62.69668,Right,
63.25069,Left,
63.79749,Right,
64.40111,Left,
64.93403,Right,
65.48791,Left,
66.01551,Right,
66.55853,Left,

time,foot
1.299156,Left,
2.332398,Right,
2.999081,Left,
3.881954,Left,
4.249227,Right,
4.832622,Left,
6.048741,Right,
6.548512,Left,
7.531516,Right,
8.581967,Left,
9.913009,Right,
11.33097,Left,
11.63049,Right,
12.62957,Right,
13.49622,Left,
14.41319,Right,
14.91272,Left,
15.28,Right,
15.71235,Left,
16.24438,Right,
16.84538,Left,
17.41102,Right,
17.91238,Left,
18.41225,Right,
19.01227,Left,
19.51156,Right,
20.06137,Left,
20.59423,Right,
21.16096,Left,
21.69238,Right,
22.26039,Left,
22.76033,Right,
23.32768,Left,
23.86095,Right,
24.46041,Left,
24.99338,Right,
25.52736,Left,
26.0603,Right,
26.6101,Left,
27.17678,Right,
27.7261,Left,
28.2594,Right,
28.77617,Left,
29.34019,Right,
29.89027,Left,
30.42436,Right,
30.99445,Left,
31.55853,Right,
32.0859,Left,
32.63801,Right,
33.14713,Left,
33.73547,Right,
34.24179,Left,
34.78749,Right,
35.30562,Left,
35.92887,Right,
36.44048,Left,
36.99026,Right,
37.53841,Left,
38.08346,Right,
38.62803,Left,
39.1558,Right,
39.71395,Left,
40.25031,Right,
40.82042,Left,
